id,city_name,average_hotel_cost_per_night_usd,average_food_cost_per_day_usd
1,New York #1,178,40
2,London #1,94,24
3,Paris #1,207,25
4,Tokyo #1,228,43
5,Dubai #1,280,75
6,Singapore #1,61,37
7,Los Angeles #1,233,41
8,Rome #1,142,99
9,Bangkok #1,174,85
10,Barcelona #1,281,92
11,Istanbul #1,71,68
12,Amsterdam #1,194,43
13,Berlin #1,163,84
14,Sydney #1,125,84
15,Hong Kong #1,82,66
16,Toronto #1,285,85
17,San Francisco #1,63,87
18,Las Vegas #1,235,58
19,Chicago #1,163,95
20,Madrid #1,213,40
21,Vienna #1,172,64
22,Seoul #1,80,59
23,Prague #1,209,37
24,Milan #1,146,74
25,Dublin #1,221,35
26,Munich #1,263,35
27,Copenhagen #1,84,65
28,Brussels #1,209,96
29,Lisbon #1,67,57
30,Buenos Aires #1,175,68
31,Cape Town #1,287,51
32,Moscow #1,72,70
33,Warsaw #1,254,68
34,Athens #1,246,87
35,Stockholm #1,147,66
36,Zurich #1,184,36
37,Budapest #1,298,41
38,Jakarta #1,211,41
39,Doha #1,210,30
40,Kuala Lumpur #1,229,75
41,Rio de Janeiro #1,236,87
42,Mexico City #1,59,26
43,Vancouver #1,258,33
44,Beijing #1,179,41
45,Shanghai #1,205,39
46,Osaka #1,70,79
47,Manila #1,147,56
48,Tel Aviv #1,64,47
49,Edinburgh #1,179,46
50,Helsinki #1,197,47
51,New York #2,229,21
52,London #2,195,34
53,Paris #2,283,49
54,Tokyo #2,235,48
55,Dubai #2,217,88
56,Singapore #2,234,91
57,Los Angeles #2,177,43
58,Rome #2,96,30
59,Bangkok #2,234,87
60,Barcelona #2,181,68
61,Istanbul #2,102,55
62,Amsterdam #2,284,97
63,Berlin #2,230,68
64,Sydney #2,169,68
65,Hong Kong #2,185,92
66,Toronto #2,277,82
67,San Francisco #2,190,59
68,Las Vegas #2,299,54
69,Chicago #2,61,53
70,Madrid #2,116,96
71,Vienna #2,134,26
72,Seoul #2,262,66
73,Prague #2,176,48
74,Milan #2,79,89
75,Dublin #2,165,23
76,Munich #2,109,82
77,Copenhagen #2,282,29
78,Brussels #2,76,53
79,Lisbon #2,69,44
80,Buenos Aires #2,171,85
81,Cape Town #2,65,96
82,Moscow #2,165,88
83,Warsaw #2,136,27
84,Athens #2,74,56
85,Stockholm #2,166,88
86,Zurich #2,187,45
87,Budapest #2,156,38
88,Jakarta #2,195,34
89,Doha #2,134,98
90,Kuala Lumpur #2,105,48
91,Rio de Janeiro #2,161,94
92,Mexico City #2,237,100
93,Vancouver #2,203,81
94,Beijing #2,296,76
95,Shanghai #2,195,74
96,Osaka #2,196,30
97,Manila #2,190,33
98,Tel Aviv #2,100,27
99,Edinburgh #2,260,91
100,Helsinki #2,88,65
101,New York #3,156,97
102,London #3,135,37
103,Paris #3,108,71
104,Tokyo #3,215,74
105,Dubai #3,64,78
106,Singapore #3,68,70
107,Los Angeles #3,273,23
108,Rome #3,124,78
109,Bangkok #3,224,92
110,Barcelona #3,179,72
111,Istanbul #3,52,58
112,Amsterdam #3,145,24
113,Berlin #3,219,51
114,Sydney #3,94,96
115,Hong Kong #3,63,63
116,Toronto #3,124,95
117,San Francisco #3,220,88
118,Las Vegas #3,197,85
119,Chicago #3,216,31
120,Madrid #3,124,86
121,Vienna #3,164,89
122,Seoul #3,166,53
123,Prague #3,81,43
